src_ip,dst_ip,protocol,len,src_port,dst_port,flags
23.64.59.89,10.135.157.7,6,40,443,55013,A
23.64.59.49,10.135.157.7,6,52,443,55060,SA
10.135.157.7,23.64.59.49,6,40,55060,443,A
10.135.157.7,23.64.59.49,6,680,55060,443,PA
71.18.222.1,10.135.157.7,6,52,443,55059,SA
71.18.222.1,10.135.157.7,6,40,443,55058,A
10.135.157.7,71.18.222.1,6,40,55059,443,A
10.135.157.7,71.18.222.1,6,604,55059,443,PA
71.18.222.1,10.135.157.7,6,40,443,55058,A
71.18.222.1,10.135.157.7,6,1258,443,55058,PA
71.18.222.1,10.135.157.7,6,64,443,55058,PA
71.18.222.1,10.135.157.7,6,40,443,55058,FA
10.135.157.7,71.18.222.1,6,40,55058,443,A
10.135.157.7,71.18.222.1,6,64,55058,443,PA
10.135.157.7,71.18.222.1,6,40,55058,443,FA
23.64.59.49,10.135.157.7,6,40,443,55060,A
23.64.59.49,10.135.157.7,6,304,443,55060,PA
10.135.157.7,23.64.59.49,6,120,55060,443,PA
10.135.157.7,10.135.157.218,17,69,55261,53,
71.18.222.1,10.135.157.7,6,40,443,55059,A
71.18.222.1,10.135.157.7,6,1392,443,55059,A
71.18.222.1,10.135.157.7,6,1392,443,55059,PA
10.135.157.7,71.18.222.1,6,40,55059,443,A
71.18.222.1,10.135.157.7,6,1392,443,55059,A
71.18.222.1,10.135.157.7,6,80,443,55059,PA
71.18.222.1,10.135.157.7,6,238,443,55059,PA
10.135.157.7,71.18.222.1,6,40,55059,443,A
10.135.157.7,71.18.222.1,6,0,55059,443,PA
10.135.157.7,23.64.59.26,6,41,54803,443,A
23.64.59.49,10.135.157.7,6,40,443,55060,A
23.64.59.49,10.135.157.7,6,343,443,55060,PA
10.135.157.7,23.64.59.49,6,40,55060,443,A
71.18.222.1,10.135.157.7,6,40,443,55058,R
23.64.59.26,10.135.157.7,6,52,443,54803,A
71.18.222.1,10.135.157.7,6,40,443,55059,A
71.18.222.1,10.135.157.7,6,327,443,55059,PA
71.18.222.1,10.135.157.7,6,327,443,55059,PA
10.135.157.7,71.18.222.1,6,40,55059,443,A
71.18.222.1,10.135.157.7,6,40,443,55059,A
71.18.222.1,10.135.157.7,6,1290,443,55059,PA
71.18.222.1,10.135.157.7,6,64,443,55059,PA
10.135.157.7,71.18.222.1,6,40,55059,443,A
10.135.157.7,71.18.222.1,6,64,55059,443,PA
10.135.157.7,71.18.222.1,6,40,55059,443,FA
71.18.222.1,10.135.157.7,6,40,443,55059,FA
10.135.157.7,71.18.222.1,6,40,55059,443,A
10.135.157.7,71.18.222.1,6,52,55061,443,S
71.18.222.1,10.135.157.7,6,40,443,55059,R
71.18.222.1,10.135.157.7,6,40,443,55059,R
71.18.222.1,10.135.157.7,6,40,443,55059,R
71.18.222.1,10.135.157.7,6,52,443,55061,SA
10.135.157.7,71.18.222.1,6,40,55061,443,A
10.135.157.7,71.18.222.1,6,604,55061,443,PA
10.135.157.7,10.135.157.218,17,69,55261,53,
71.18.222.1,10.135.157.7,6,40,443,55061,A
71.18.222.1,10.135.157.7,6,297,443,55061,PA
10.135.157.7,71.18.222.1,6,0,55061,443,PA
10.135.157.7,23.64.59.26,6,41,54803,443,A
23.64.59.26,10.135.157.7,6,64,443,54803,PA
23.64.59.26,10.135.157.7,6,40,443,54803,FA
10.135.157.7,23.64.59.26,6,40,54803,443,A
10.135.157.7,23.64.59.26,6,64,54803,443,PA
10.135.157.7,23.64.59.26,6,40,54803,443,FA
71.18.222.1,10.135.157.7,6,40,443,55061,A
71.18.222.1,10.135.157.7,6,327,443,55061,PA
10.135.157.7,71.18.222.1,6,40,55061,443,A
23.64.59.26,10.135.157.7,6,52,443,54803,A
10.135.157.218,10.135.157.7,17,228,53,55261,
10.135.157.7,23.64.59.26,6,52,55062,443,S
23.64.59.26,10.135.157.7,6,40,443,54803,R
71.18.222.1,10.135.157.7,6,1258,443,55061,PA
71.18.222.1,10.135.157.7,6,64,443,55061,PA
71.18.222.1,10.135.157.7,6,40,443,55061,FA
